skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Marco / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
broadside	1	5	2	1	0	new skill	38	SkillnameBroadside	SkillsdBroadside2	SkillsdBroadside2	SkillnameBroadside	StrSkill3	3												1				1					7	DescBombardment		12+(lvl*2)																						12	DescRealLockoutDur		"max((par1+((blvl-1)*par2)),150)"		73	WeapDamsk		3	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameBroadside	4		65	DescSelf	DescVulDurRed2			18	DescSelfSynergy																								0
blink	2	1	1	2	0	new skill	40	SkillnameBlink	SkillsdBlink	SkillsdBlink	SkillnameBlink	StrSkill3																	1					12	StrSkill48		ln12																						12	DescDelayZ		(125*(100-(((110*blvl) * (par6-par5))/(100 * (blvl+6)))))/100		19	StrSkill56		6		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameBlink	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy																								0
shurikenflurry	2	2	2	2	0	new skill	42	SkillnameShurryFlurry	SkillsdShurryFlurry	SkillsdShurryFlurry	SkillanShurryFlurry	StrSkill3	5																1					7	DescShurikens		3+lvl		10					9																														73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameShurryFlurry	4		65	strchrenghard	DescDisPhMahSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
tieflingform	2	5	3	2	0	1.B9 JUST COPY THIS DAMN BLOCK OVER ALREADY	86	SkillnameTiefling	SkillsdTiefling	SkillsdTiefling	SkillanTiefling	StrSkill3																	1					12	StrSkill20		(ln78*(100+stat('profession_duration_mod'.accr)))/100		2	DescBlank	TieflingBonus	25+(lvl*5)		5	DescEnrFB		3*lvl												2	DescBlank	DescLifePerBerry	30+(blvl*blvl*2)		18	DescTiefling				2	DescBlank	DescSkillsAndSpace	1		73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameTiefling	4		65	DescSelf	DescLivingFlameSyn			18	DescSelfSynergy																								0
psionicskill	2	3	2	2	0	new skill	76	SkillnameMorePylons	SkillsdMorePylons	SkillsdMorePylons	SkillnameMorePylons	StrSkill3	5																1					35	DescPsiPersistent1	StrSkill34	(edmn*2)/5	(edmx*2)/5	38	DescPsiFirst	DescPerHardEnPsi	lvl	lvl+2																					12	StrSkill20		25		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"																																				0
perfectbeing	2	5	1	2	0	new skill	48	SkillnameGodSaveThe	SkillsdGodSaveThe	SkillsdGodSaveThe	SkillnameGodSaveThe																		1										3	DescTrackAvoid	StrSkill23	par1+(((par2*blvl)*5)/4)																																73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameGodSaveThe	4		65	DescSelf	DescMeLieksAvoid			18	DescSelfSynergy																								0
aerialsdisaster	1	1	1	1	0		8	SkillnameBoldNewEQ	SkillsdBoldNewEQ	SkillsdBoldNewEQ	SkillnameBoldNewEQ	StrSkill3	5												1				1					3	DescBonusMagDmg	DescNephalemStr	lvl*25																											73	WeapDamsk		3	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"																																				0
bloodhatred	1	1	2	1	0	1.B9 DESC	2	SkillnamePwnYourself	SkillsdPwnYourself4	SkillsdPwnYourself4	SkillnamePwnYourself	StrSkill3	7	clc1											1				1					18	DescScalingBonus				3	DescBloodhatredSwing	StrSkill23	lvl*2							7	DescLifeRage26		ln12		2	StrSkill4	DescPctToAtt	ln56		12	DescSuckHalf		((clc2+par7)*(100+stat('profession_duration_mod'.accr)))/100		12	StrSkill20		((clc2+par7)*(100+stat('profession_duration_mod'.accr)))/100		18	DescBlankWhite				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnamePwnYourself	4		18	SkillnameDeadalus																													0
thunderslam	1	3	1	1	0	new skill	4	SkillnameThunderSlam	SkillsdThunderSlam	SkillsdThunderSlam	SkillnameThunderSlam	StrSkill3	5												1				1					3	DescBonusMagDmg	DescNephalemStr	lvl*25							12	DescDelayZ		"max((250-dm78),100)"		18	DescHitYou									73	WeapDamsk		3	4	12	StrSkill48		75		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"																																				0
showerofrocks	1	4	1	1	0		6	SkillnameRocks	SkillsdRocks	SkillsdRocks	SkillanSOR	StrSkill3	5												1				1					3	DescARPenalty	StrSkill23	"(-1)*min(((((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1)),75)"		3	DescBonusMagDmg	DescNephalemStr	lvl*25																	3	DescEnemyIAS	StrSkill23	-25		3	DescVenomPena	StrSkill23	-15		18	DescRocksDmg				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"																																				0
stormblast	1	5	1	1	0		30	SkillnameStormblast	SkillsdStormblast	SkillsdStormblast	SkillanStormblast	StrSkill3	5												1				1					19	StrSkill56		10+((lvl-1)*2)																						18	DescStormBlastFlat				73	WeapDamsk		1	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"																																				0
lionstance	2	1	3	2	0	new skill	12	SkillnameLionStance	SkillsdLionStance	SkillsdLionStance	SkillnameLionStance																		1					10					9					3	DescDamageIncr	StrSkill23	"max(ln34,25)"		7					2	StrSkill4	StrSkill23	(ln12+stat('lion_stance_syn'.accr))							38	DescBonusMagDmg	DescNephalemStr	blvl*50	blvl*75	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameLionStance	4		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameLionStance	4		65	DescSelf	DescLionStrToMag			18	DescSelfSynergy									0
snakestance	2	2	3	2	0	new skill	14	SkillnameSnakeStance	SkillsdSnakeNew	SkillsdSnakeNew	SkillnameSnakeStance																		1					12	DescOver		edln		35	DescPDtoWPN		(edmn*(((skill('Eagle Stance'.blvl)*par5)+100)*edln))/25600	(edmx*(((skill('Eagle Stance'.blvl)*par5)+100)*edln))/25600																3	DescSlowsYoo	StrSkill23	"5+min((blvl*2),45)"		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	18	DescMultiplier				40	Sksyn	SkillnameSnakeStance	4		63	SkillnameEagleStance	Poisdplev	par5		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameSnakeStance	4		65	DescSelf	DescSlowSyn2			18	DescSnakeSynergy				0
bearstance	2	3	3	2	0	new skill	16	SkillnameBearski	SkillsdBearski	SkillsdBearski	SkillnameBearski																		1					3	DescACBonus	StrSkill23	edmx		2	StrSkill4	StrSkill23	par1+par2*lvl																	2	DescDamageReduc	StrSkill23	"min(((blvl*1)+25),100)"		18	BearGrowl				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameBearski	4		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameBearski	4		63	DescSelf	DescDmgRedSyn	1		18	DescSelfSynergy									0
eaglestance	2	4	3	2	0	1.E9 PREDATOR SYN	18	SkillnameEagleStance	SkillsdEagleStance	SkillsdEagleStance	SkillnameEagleStance																		1					12	DescRegenAll		"max(1000-(((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1),200)"		2	StrSkill4	StrSkill23	-50																	38	DescHitLeeches	DescLife	1+(blvl/2)	2+((blvl/2)*2)	2	StrSkill88	StrSkill23	(blvl*par6)+25		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameEagleStance	4		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameEagleStance	4		65	DescSelf	DescMREXSyn			65	DescSelf	DescPredatorSyn			18	DescSelfSynergy				0
wolfstance	2	5	3	2	0	1.B9 HARD POINT CB	50	SkillnameWolfStance	SkillsdWolfStance	SkillsdWolfStance	SkillnameWolfStance																		1					2	StrSkill70	StrSkill23	"min(ln78,120)"		2	DescHitRec	StrSkill23	((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1		2	StrSkill106	StrSkill23	((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1		2	StrSkill4	StrSkill23	ln56												3	DescCrushEm	StrSkill23	par3+(blvl*par4)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameWolfStance	4		63	DescSelf	DescCBLvl	par4		18	DescSelfWolf				40	Sksyn	SkillnameWolfStance	4		18	SkillnameWithDinosaurs														0
guardianspirit	2	1	1	2	0	new skill	20	SkillnameGuardianSp	SkillsdGuardianSp	SkillsdGuardianSp	SkillnameGuardianSp	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((2+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(200*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)												5	DescAncSpi		3+stat('skill_ancientspirits_synergy'.accr)		18	DescGuardian				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameGuardianSp	4		18	SkillnameGreaterM																													0
defenderspirit	2	2	1	2	0	new skill	22	SkillnameDefenderSp	SkillsdDefenderSp	SkillsdDefenderSp	SkillnameDefenderSp	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((2+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(200*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)												5	DescAncSpi		3+stat('skill_ancientspirits_synergy'.accr)		18	DescDefender				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameDefenderSp	4		18	SkillnameGreaterM																													0
protectorspirit	2	3	1	2	0	to be changed	24	SkillnameProtectorSp	SkillsdProtectorSp	SkillsdProtectorSp	SkillnameProtectorSp	StrSkill3																	1					2	DescBloodElemAC	StrSkill23	10+stat('skill_shamanspath_elemental'.accr)+(lvl*5)		2	DescBloodPhysAC	StrSkill23	15+stat('skill_shamanspath_synergy'.accr)+(lvl*5)		35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((2+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(200*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)		5	DescAncSpi		3+stat('skill_ancientspirits_synergy'.accr)		18	DescProtector				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameProtectorSp	4		18	SkillnameGreaterM																													0
greatermanifestations	2	4	1	2	0	new skill	26	SkillnameGreaterM	SkillsdGreaterM	SkillsdGreaterM	SkillnameGreaterM																		1					4	DescAncSpi		"min(ln12,6)"		38	GMAddsDmg	DescBlank	15*lvl	25*lvl	38	GMAddsLife	StrSkill23	5*lvl	15*lvl	18	DescBasedOnType																								73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"																																				0
spiritwalk	2	5	1	2	0	new skill	72	SkillnameWithDinosaurs	SkillsdWithDinosaurs	SkillsdWithDinosaurs	SkillnameWithDinosaurs																							19	DescSWConsolidated		lvl*3																						18	DescTargetOnlyT				12	DescDelayZ		"max(0,(250-((skill('Guardian Spirit'.blvl)+skill('Defender Spirit'.blvl)+skill('Protector Spirit'.blvl)+skill('Greater Manifestations'.blvl)+skill('Spirit Walk'.blvl))*5)))"		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameWithDinosaurs	4		65	DescSpiritTreeWoot	DescTimerLossX																												0
wolfcompanion	2	1	2	2	0	to be changed	66	SkillnameBigWolf	SkillsdBigWolf	SkillsdBigWolf	SkillanWCOM	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((2+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	19	DescWolfRadiusField		2+(lvl/6)																	2	DescIHaveBeenMark	DescOnEachHit	((((((2*blvl)+1)+30)*((2*blvl)+1))-21))/1		5	DescWolvesNumberR		1+(blvl/5)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameBigWolf	4		65	DescSelf	DescICanHazMark			65	DescSelf	DescICanHazWolf			18	DescSelfSynergy																			0
ancientblood	2	2	2	2	0		10	SkillnameAncBlood	SkillsdAncBlood	SkillsdAncBlood	SkillnameAncBlood														1				1					2	StrSkill100	StrSkill23	par1+(lvl/par2)																						2	DescAttR	StrSkill23	blvl		4	DescAllSkillLevels		1+(blvl/par3)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameAncBlood	4		65	DescSelf	DescMaxLvlSynMini			63	DescSelf	DescABAttrate	1		18	DescSelfSynergy																			0
fortress	2	3	2	2	0		34	SkillnameFortress	SkillsdBoldNewFort	SkillsdBoldNewFort	SkillnameFortress	StrSkill3	5												1				1					12	DescFortDur2		63+(lvl*5)																						19	DescTargetComp		20+(skill('Wolf Companion'.blvl)*par1)		12	DescRealLockoutDur		"max((175-(5*blvl)),75)"		18	DescThreeFourBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameFortress	4		65	SkillnameBigWolf	DescAoWSyn			18	DescBlank				40	SksynSelf	SkillnameFortress	4		65	DescSelf	DescFortTimerSyn			18	DescMaximus				18	DescSelfSynergy				0
spiritguide	2	4	2	2	0	1.A9 ADDED MISSING FCR	36	SkillnameSPGuide	SkillsdSPGuide	SkillsdSPGuide	SkillnameSPGuide																		1					2	DescCastWowz	DescPctWhenNear	ln34		2	StrSkill4	DescPctWhenNear	ln12																	3	DescACBonus	DescPctWhenNear	par5+(blvl*par6)		19	StrSkill56		12		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameSPGuide	4		63	DescSelf	DescAAC	par6		18	DescSelfSynergy																								0
mountainking	2	5	2	2	0		38	SkillnameMountainKing	SkillsdMountainKing	SkillsdMountainKing	SkillnameMountainKing																		1					2	DescAllKings	StrSkill23	((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1																																					73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"																																				0
bearclaw	1	1	3	1	0		40	SkillnameBearClaw	SkillsdBearClaw	SkillsdBearClaw	SkillnameBearClaw	StrSkill3	3												1				1					19	StrSkill56		6+(2*(lvl-1))		12	StrSkill48		ln12																	18	DescBetaPierce				73	WeapDamsk		3	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"																																				0
stampede	1	2	3	1	0	new skill	42	SkillnameStampede	SkillsdStampede	SkillsdStampede	SkillnameStampede	StrSkill3	3												1				1					19	StrSkill56		6+(2*(lvl-1))		7	DescAxes		ln56		12	DescDelayZ		"min(((lvl)*par3),50)"												18	DescBetaStun				73	WeapDamsk		3	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"																																				0
rebound	1	3	3	1	0		44	SkillnameEagleFlight	SkillsdEagleFlight	SkillsdEagleFlight	SkillnameEagleFlight	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																						19	DescTargetComp		30+(blvl-1)		3	StrSkill72	StrSkill27	par5+((blvl-1)*par6)		18	DescReboundCombo2				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameEagleFlight	4		67	DescSelf	DescMoarA	par6		65	DescSelf	DescRSSSSS			18	DescSelfSynergy																			0
screamingeagle	1	4	3	1	0	1.B9 ADD SLOW	46	SkillnameFalconPUNCH	SkillsdFalconPUNCH	SkillsdFalconPUNCH	SkillnameFalconPUNCH	StrSkill3																	1					2	DescVenomPena	StrSkill23	"(-1)*min(((((220*lvl) * (par6-par5))/(100 * (lvl+50)) + par5)),50)"		3	DescEnemyDamage	StrSkill23	"(-1)*min(((((220*lvl) * (par6-par5))/(100 * (lvl+50)) + par5)),25)"																	3	DescEnemyIAS	StrSkill23	-10		12	StrSkill20		((par1+(blvl*par2))*(100+stat('profession_duration_mod'.accr)))/100		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameFalconPUNCH	4		65	DescSelf	DescDurScream			18	DescSelfSynergy																								0
overkill	1	5	3	1	0	1.B9 NEW ROW	70	SkillnameOverkill	SkillsdOverkill	SkillsdOverkill	SkillnameOverkill	StrSkill3	3												1				1																														19	StrSkill56		par3		7	DescAxes		par1+(blvl*par2)		18	DescOverkilled				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameOverkill	4		67	DescSelf	DescMoarA	par2		18	DescSelfSynergy																								0
trapratform	1	1	2	1	0	1.B9 JUST COPY THIS DAMN BLOCK OVER ALREADY	30	SkillnameTrapRatform	SkillsdTrapRatForm	SkillsdTrapRatForm	SkillnameTrapRatform	StrSkill3																	1					12	StrSkill20		((par1+((lvl-1)*250))*(100+stat('profession_duration_mod'.accr)))/100		3	DescACBonus	StrSkill23	ln56																	2	DescCrushEm	StrSkill23	par7+((blvl-1)*par8)		2	DescBlank	DescLifePerBerry	"min((ulvl*30),3000)"		18	DescBlankRatto				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameTrapRatform	4		63	DescSelf	DescCBLvl	par8		18	DescSelfSynergy																								0
quillstorm	1	2	2	1	0	1.B9 JUST COPY THIS DAMN BLOCK OVER ALREADY	92	SkillnameSpikestorm	SkillsdSpikestorm	SkillsdSpikestorm	SkillnameSpikestorm	StrSkill3	5												1				1					7	DescQuilled		15+(lvl*(2+(blvl/12)))																											7	DescTarge		2+(blvl/12)		18	DescQuillstormed				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameSpikestorm	4		65	DescSelf	DescMoreDakka			18	DescSelfSynergy																								0
eggtrap	1	3	2	1	0	1.B9 JUST COPY THIS DAMN BLOCK OVER ALREADY	86	SkillnameEggOnFace	SkillsdEggOnFace	SkillsdEggOnFace	SkillnameEggOnFace	StrSkill3	5												1				1					6	DescFireConvertJav		edmx																											12	DescTrapDur2		250		18	DescBlankEggStack2				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"																																				0
ferocity	1	4	2	1	0	1.B9 JUST COPY THIS DAMN BLOCK OVER ALREADY	60	SkillnameCheese	SkillsdCheese	SkillsdCheese	SkillnameCheese																							2	DescTrapDmgSyn	StrSkill23	15*lvl																						18	DescOmgDontBeStupid				2	DescTrapIAS	StrSkill23	((220*blvl) * (par2-par1))/(100 * (blvl+50)) + par1		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameCheese	4		65	DescSelf	DescTrapIASSynDesc			18	DescSelfSynergy																								0
thornwall	1	5	2	1	0		98	SkillnameDecoySwarm	SkillsdDecoySwarm	SkillsdDecoySwarm	SkillnameDecoySwarm	StrSkill3	5												1				1					12	StrSkill20		50+((lvl-1)*5)																											73	WeapDamsk		5	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"																																				0
laughingghost	2	1	3	2	0		110	SkillnameLaughingGhost	SkillsdLaughingGhost	SkillsdLaughingGhost	SkillanLaughingGhost	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																						18	DescDmgDist				73	WeapDamsk		3	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"																																				0
cascade	2	2	3	2	0		12	SkillnameCascade	SkillsdCascade	SkillsdCascade	SkillnameCascade	StrSkill3	5												1				1					19	DescTargetComp		"min(ln78,120)"		3	StrSkill72	StrSkill27	ln56+(skill('Spore Shot'.blvl)*par4)		6	DescStopReadingThis		edmx												19	DescTSR		40		73	WeapDamsk		1	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-6)/6)),21)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameCascade	4		67	SkillnameSporeShot	DescTargetsPerLevel	par4																											0
sporeshot	2	3	3	2	0	1.B9 DMGZ	14	SkillnameSporeShot	SkillsdSporeShot	SkillsdSporeShot	SkillnameSporeShot	StrSkill3	5												1				1					3	DescUpTo	DescArrowsTotal	31+(lvl+(skill('Nova Shot'.blvl)/par4))*8		6	DescStopReadingThis		edmx																	73	WeapDamsk		3	4	3	DescShrooommzz	DescTimes	4		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-12)/6)),20)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameSporeShot	4		65	SkillnameNovaShot	DescSporeSyn																												0
elfinarrows	2	4	3	2	0	1.B9 DESC	16	SkillnameElfinStrike	SkillsdElfinArrows2	SkillsdElfinArrows2	SkillnameElfinStrike	StrSkill3																	1					2	DescCrushEm	StrSkill23	"min(ln12,50)"																											2	DescBlackDmg	StrSkill23	"min(((blvl*par3)+20),1000)"		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-18)/6)),19)),2)+stat('skill_more'.accr)+(skill('DSK 2'.pst3)/2)"	40	Sksyn	SkillnameElfinStrike	4		65	DescAnyOtharBowSkill	DescMaxLvlSyn			18	DescBlank				40	SksynSelf	SkillnameElfinStrike	4		63	DescSelf	DescDmgPLvl	par3		18	DescSelfSynergy									0
novashot	2	5	3	2	0	1.B9 3/4 DMG	18	SkillnameNovaShot	SkillsdNovaShot	SkillsdNovaShot	SkillnameNovaShot	StrSkill3	5												1				1					19	DescTSR		((14+((lvl-1)*1))*3)/2		6	DescStopReadingThis		edmx																	66	Convphy2elemalt		100		73	WeapDamsk		3	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"																																				0
elemental	2	1	1	2	0		20	SkillnameElemental	SkillsdElemental	SkillsdElemental	SkillnameElemental	StrSkill3	5													elementalflameschain			1					22					10																									3	DescLaunches	DescMoreElAAA	2+stat('skill_druid_enhanced'.accr)+(blvl/15)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+(ulvl/6)),22)),2)+stat('skill_more'.accr)"	40	Sksyn	SkillnameElemental	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"		65	DescSelf	DescMoarMissilesMoarFun			18	DescSelfSynergy														0
