skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Athulua Death Proc	163		newathuluaswrath	UQ - Athulua			newsuperbarragespawner									newsuperbarragespawner																																																					8	80	1															mag	10	10	10	10	10	10	10	10	10	10	10	10	(5*ulvl)/4							0																																											rng		miss						A1	A1	A1			0	7	40	0		6	99		1	1		0									1															1																																																																			1			1		0
AndrialSpray	164			Classic	46	88				andarielspray			34	48			andarielspray																																																				8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
Jump	165			Classic	47	89																																								10	damage%																						8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1			15	5											1																																																								1											1					0
Swarm Move	166			Classic	48	90							35	49																																11	do frame	19	stop frame																				8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
Nest	167			Classic	49	91							36	50																																																							8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
Quick Strike	168			Classic	50	92				raven1																																																											8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1		1			0
VampireFireball	169			Classic			vampirefireball									vampirefireball																																																					8																																					0																																											none								SQ	SQ	SC				0	0	0		1				1		0									1															1																																																								1											1					0
VampireFirewall	170			Classic		24				vampirefirewallmaker	vampirefirewall			26			vampirefirewallmaker																																																																																									0																																											none								SQ	SQ	SC				0	0	0		1				1		0									1															1																																																								1											1					0
VampireMeteor	171			Classic		28				vampiremeteorcenter				28			vampiremeteorcenter									ln12																				ln12							5	radius of explosion	1	radius/level	30	Frames of fire	15	Frames of fire per level									5			1														fire	5	5	5	5	5	5	10	5	5	5	5	5								0					fire_cast_2	fire_cast_2																																					none								SQ	SQ	SC				0	0	0		1				1		0									1															1																sorceress_meteor																																								1											1					0
GargoyleTrap	172			Classic		93				shafire3				51			shafire3																																																				8																																					0																																											none								SQ	SQ	xx	18			0	0	0		1				1		0									1															1																																																																			1					0
SpiderLay	173			Classic		23																	spiderlay	slowed	300			velocitypercent		-100																						20	30	Slow Duration/Level	75	Duration/Level													8																																					0																																											none								SQ	SQ	A2				0	0	0		1				1		0									1															1																																																								1											1					0
VampireHeal	174			Classic																																																																	8																																					0																																											none								SQ	SQ	SC				0	0	0		1				1		0									1															1																																																								1											1					0
VampireRaise	175			Classic																																																																	8																																					0																																											none								SQ	SQ	SC				0	0	0		1				1		0									1							1	1		1					1																																																								1											1		1			0
Submerge	176			Classic	51	94							37	52																																																							8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
Prowl	177		prowl	Monster	31	67							25	37																																ln34	damage %						-25	percent increase in velocity	0	?	50	plus % damage	10	plus % dam per level	0	?	0	?			10	duration synergy	8	64	1															cold	400	400	400	400	400	400	600	500	500	500	500	500		25						0																																											none		spea		h2h	jave			SQ	A1	xx	4		0	7	20	7		1	99		1			2		1			1				1			50												1																																																									1										1	1	1			0
FetishInferno	178			Classic	53	95				fetishinferno1				54			fetishinferno1	fetishinferno2																														par1	length of fire	3	density		15	frame length															8			1																																		0																																											none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
ZakarumHeal	179			Classic		96																																								15+5*lvl	min heal%	50	max heal %				15	?	30	?	5	?	0	?									8																																					0					healing	healing																																					none								SQ	SQ	S1				0	0	0		1				1		0									1															1																			receiving				receiving																																	1											1					0
Emerge	180			Classic	52								38																																																								8																																					0																																											none								SQ	SQ	S1				0	0	0		1				1		0									1															1																																																								1											1					0
Resurrect	181			Classic		97							39																																																								8																																					0		fallenshaman_resurrect_cast	fallenshaman_resurrect_cast		healing	healing																																					none								SQ	SQ	xx				0	0	0		1				1		0									1							1	1		1				1	1																																																								1											1		1			0
Bestow	182			Classic		96																																																															8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																							receiving																																	1											1		1			0
MissileSkill1	183			Classic		110								66																																																							8																																					0																																											none								SQ	SQ	S1				0	0	0		1				1		0									1															1																																																								1											1					0
MonTeleport	184			Classic		98																																																															8																																					1		sorceress_teleport	sorceress_teleport		teleport	teleport																																					none								SQ	SQ	S1				0	0	0		1				1		0									1															1																																																								1											1					0
PrimeLightning	185			Classic			monsterlight									monsterlight																																																					8																																					0		mephisto_lightning_cast	mephisto_lightning_cast																																								none								SQ	SQ	A2				0	0	0		1				1		0									1															1																																																								1											1					0
PrimeBolt	186			Classic		17				chargedstrikebolt				23			chargedbolt																													lvl+2	#bolts																						8																																					0		mephisto_chargedbolt_cast	mephisto_chargedbolt_cast																																								none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
PrimeBlaze	187			Classic		23				blaze						blaze							blaze		dm12																												0	?	60	duration/level	0	?	0	?									8																																					0		monster_cast_fire	monster_cast_fire																																								none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
PrimeFirewall	188			Classic		24				vampirefirewallmaker	vampirefirewall			26			vampirefirewallmaker																																				0	?	0	?	0	?	0	?									8																																					0		monster_cast_fire	monster_cast_fire																																								none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
PrimeSpike	189			Classic			monglacialspike									monglacialspike									ln12	ln34																											4	radius	0	radius per level	25	freeze frames	10	freeze frames per level									8																																					0		monster_cast_cold	monster_cast_cold																																								none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
